EmployeeNumber,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion
1,4,5,0
2,7,7,1
4,0,0,0
5,7,0,3
7,2,2,2
8,7,6,3
10,0,0,0
11,0,0,0
12,7,8,1
13,7,7,7
14,4,3,0
15,5,8,0
16,2,3,4
18,2,2,1
19,2,3,0
20,9,8,8
21,2,5,0
22,0,0,0
23,8,7,3
24,2,2,1
26,2,3,1
27,3,3,0
28,6,11,2
30,0,0,0
31,2,3,1
32,13,8,4
33,2,7,6
35,7,2,4
36,6,17,5
38,2,1,2
39,1,0,0
40,2,3,1
41,0,8,1
42,0,0,0
45,0,0,2
46,3,4,1
47,2,2,0
49,2,2,2
51,1,0,0
52,3,3,1
53,0,0,0
54,0,0,0
55,0,1,0
56,8,7,1
57,8,7,3
58,15,8,15
60,5,7,8
61,0,0,0
62,6,8,0
63,0,1,0
64,0,0,0
65,2,2,2
68,3,3,1
70,0,3,2
72,2,0,0
73,14,12,8
74,8,8,1
75,2,2,2
76,7,7,1
77,5,7,0
78,8,8,7
79,3,9,9
80,3,8,13
81,16,9,7
83,14,8,12
84,0,2,0
85,5,3,0
86,0,0,0
88,2,2,1
90,0,0,0
91,3,3,1
94,4,4,0
95,1,0,1
96,4,9,0
97,0,0,0
98,7,8,1
100,13,8,2
101,0,0,0
102,2,2,0
103,2,2,0
104,8,0,3
105,4,4,0
106,0,0,1
107,11,9,1
110,2,3,1
112,4,2,0
113,0,0,0
116,2,3,0
117,10,8,10
118,8,7,4
119,3,11,11
120,7,0,1
121,8,7,2
124,9,5,9
125,8,7,5
126,3,3,0
128,2,2,0
129,4,4,0
131,10,8,1
132,2,2,1
133,2,2,0
134,0,0,0
137,0,0,1
138,13,10,2
139,0,0,0
140,2,2,2
141,3,7,0
142,4,3,0
143,2,1,2
144,0,0,0
145,12,8,12
147,7,6,0
148,3,4,4
150,3,2,1
151,0,0,0
152,3,3,1
153,10,8,5
154,7,8,2
155,0,0,0
158,12,12,4
159,7,9,0
160,7,7,0
161,4,3,4
162,18,15,15
163,7,7,7
164,4,3,4
165,10,6,15
167,0,0,0
169,1,1,2
170,11,11,5
171,2,2,1
174,2,1,2
175,2,2,2
176,7,7,0
177,7,7,5
178,2,1,0
179,2,3,0
182,11,9,5
183,2,2,2
184,9,7,4
190,4,4,0
192,5,3,0
193,2,2,2
194,4,4,0
195,7,7,0
197,2,2,2
198,3,2,1
199,6,7,7
200,0,4,1
201,0,0,0
202,7,13,2
204,8,6,0
205,7,5,4
206,9,15,0
207,8,7,3
208,7,9,0
211,0,0,0
214,0,0,0
215,11,11,2
216,3,2,1
217,2,2,2
218,2,2,2
221,2,2,0
223,3,4,1
224,1,1,0
226,4,4,4
227,8,8,1
228,9,4,7
230,3,7,0
231,4,4,1
233,2,1,1
235,0,0,0
238,7,2,7
239,9,10,6
240,4,3,0
241,2,2,2
242,1,2,0
243,0,0,1
244,13,7,15
245,2,1,2
246,2,2,0
247,2,2,1
248,3,2,0
249,2,2,0
250,2,3,1
252,7,6,1
253,8,9,9
254,15,15,2
256,9,9,1
258,7,0,1
259,18,9,11
260,7,3,0
261,0,1,0
262,4,2,2
264,8,8,11
267,7,7,1
269,2,2,1
270,3,2,0
271,0,0,0
273,7,7,1
274,2,0,2
275,7,7,1
277,3,0,2
281,2,7,3
282,0,0,0
283,4,9,1
284,2,2,2
286,1,7,1
287,2,2,0
288,2,3,0
291,8,8,9
292,8,8,5
293,7,7,0
296,9,7,4
297,2,4,0
298,0,0,0
299,3,1,0
300,2,5,1
302,7,8,12
303,2,5,0
304,11,7,3
305,2,1,1
306,8,7,0
307,10,13,5
308,4,4,1
309,0,0,0
311,8,8,5
312,10,1,4
314,7,8,0
315,3,1,0
316,2,2,2
319,17,15,11
321,2,2,2
323,0,6,0
325,4,4,0
327,13,9,1
328,7,7,1
329,7,12,15
330,3,2,1
331,2,2,1
332,2,2,1
333,2,2,2
334,0,0,0
335,8,7,4
336,0,7,1
337,2,2,2
338,2,2,0
339,9,9,5
340,1,2,0
341,2,2,0
342,0,0,0
343,6,8,11
346,5,5,1
347,2,2,0
349,2,2,0
350,2,2,1
351,6,8,7
352,7,9,3
353,0,0,0
355,4,4,1
359,1,3,0
361,7,5,7
362,2,4,0
363,7,7,7
364,0,0,0
366,0,0,0
367,0,8,7
369,3,5,1
372,7,10,4
373,13,11,10
374,10,13,4
376,7,9,9
377,2,4,0
378,4,1,0
379,2,0,1
380,2,2,0
381,7,2,6
382,0,7,7
384,5,4,1
385,4,6,1
386,3,3,1
387,16,6,11
388,7,9,0
389,7,8,0
390,3,3,3
391,12,7,5
392,0,0,0
393,2,2,1
394,2,2,0
395,3,2,0
396,2,2,1
397,0,7,7
399,2,2,2
401,7,4,7
403,2,2,1
404,4,8,4
405,0,0,0
406,9,9,6
407,0,0,0
408,1,2,1
410,10,4,0
411,0,0,0
412,3,7,0
416,7,7,7
417,10,7,3
419,8,8,0
420,8,8,4
421,8,1,0
